id,title,popularity,release_date
211672,Minions,875.581305,6/17/2015
157336,Interstellar,724.247784,11/5/2014
293660,Deadpool,514.569956,2/9/2016
118340,Guardians of the Galaxy,481.098624,7/30/2014
76341,Mad Max: Fury Road,434.278564,5/13/2015
135397,Jurassic World,418.708552,6/9/2015
22,Pirates of the Caribbean: The Curse of the Black Pearl,271.972889,7/9/2003
119450,Dawn of the Planet of the Apes,243.791743,6/26/2014
131631,The Hunger Games: Mockingjay - Part 1,206.227151,11/18/2014
177572,Big Hero 6,203.73459,10/24/2014
